section,key,text_en,text_he
homepage,title,Artisan Almond Milk Yogurt & Nut Cheeses,יוגורט חלב שקדים מלאכותי וגבינות אגוזים
homepage,tagline,100% Vegan. Genuine natural and healthy ingredients,100% טבעוני. מרכיבים טבעיים ובריאים אמיתיים
homepage,subtitle,"dairy free, gluten, soy and sugar free","ללא חלב, גלוטן, סויה וסוכר"
homepage,description1,"Our Artisan Probiotic Almond Milk Yogurt and Nut Cheeses are made from pure nuts and are completely dairy free, gluten, soy and sugar free.","היוגורט הפרוביוטי מחלב שקדים והגבינות מאגוזים שלנו עשויים מאגוזים טהורים וללא חלב, גלוטן, סויה וסוכר לחלוטין."
homepage,description2,"Everything is hand made in small batches with careful attention taken to ensure quality. Only natural ingredients are used, resulting in products that are pure, healthy and delicious.","הכל נעשה ביד במנות קטנות עם תשומת לב קפדנית להבטחת איכות. נעשה שימוש רק במרכיבים טבעיים, וכתוצאה מכך מוצרים טהורים, בריאים וטעימים."
homepage,healthier_title,Healthier Living,חיים בריאים יותר
homepage,healthier_description,"We aim to inspire people towards healthier living by providing a great-tasting alternative to dairy yogurt and cheese made from simple and authentic plant-based ingredients.","אנו שואפים לעורר השראה באנשים לחיים בריאים יותר על ידי מתן חלופה טעימה ליוגורט ולגבינה מחלב העשויים ממרכיבים צמחיים פשוטים ואותנטיים."
about,title,Why We Do What We Do,למה אנחנו עושים את מה שאנחנו עושים
about,who_we_are,"When we started Bikurim it was much more than being just about food and filling the void of natural plant based products on the market. Yes, it started in the kitchen because as we were raising our family we were looking for the best way to feed them.","כשהתחלנו את ביכורים זה היה הרבה יותר מאשר רק אוכל ומילוי החלל של מוצרים צמחיים טבעיים בשוק. כן, זה התחיל במטבח כי בזמן שגידלנו את המשפחה שלנו חיפשנו את הדרך הטובה ביותר להאכיל אותם."
about,our_story_title,Our Story,הסיפור שלנו
about,our_story,"I knew it was possible to make a great tasting plant-based yogurt, so I started researching and experimenting and was motivated to make my own. What I thought would be a two week process turned into almost 2 years, with tens of containers filling our refrigerator weekly and notebooks with names like A1, B1 and C3.","ידעתי שאפשר להכין יוגורט צמחי בטעם נהדר, אז התחלתי לחקור ולהתנסות והייתי מונעת להכין בעצמי. מה שחשבתי שיהיה תהליך של שבועיים הפך לכמעט שנתיים, עם עשרות מיכלים שמילאו את המקרר שלנו מדי שבוע ומחברות עם שמות כמו A1, B1 ו-C3."
about,goal,"Our goal is to inspire people towards healthier living by providing a great tasting alternative to dairy yogurt and cheese made from simple and authentic plant based ingredients.","המטרה שלנו היא לעורר השראה באנשים לחיים בריאים יותר על ידי מתן חלופה טעימה ליוגורט ולגבינה מחלב העשויים ממרכיבים צמחיים פשוטים ואותנטיים."
about,signature,"Bikurim – inspiring each other to be the best we can. Here's to your health and to our shared goals of being part of the solution. – Dafna and Family","ביכורים - מעוררים השראה זה בזה להיות הטובים ביותר שאנחנו יכולים. לחיי הבריאות שלכם ולמטרות המשותפות שלנו להיות חלק מהפתרון. - דפנה והמשפחה"
contact,email,Bikurimvegan@gmail.com,Bikurimvegan@gmail.com
contact,phone_dafna,054-533-1920,054-533-1920
contact,phone_khatiya,054-525-0219,054-525-0219
contact,whatsapp_available,WhatsApp available,וואטסאפ זמין
